Epoch,Train Loss,Val Loss,Train Accuracy,Val Accuracy,Train Precision,Val Precision,Train Recall,Val Recall,Train IoU,Val IoU,Train Fscore,Val Fscore
0,0.990373170375824,0.9920311868190765,0.6742620348930359,0.7326028347015381,0.008363450970500707,0.008834018371999264,0.9089312791824341,0.9912080615758896,0.00835931021720171,0.008833333617076278,0.016558649018406868,0.01751120388507843
1,0.9892062306404114,0.9911459684371948,0.7661947965621948,0.7407851219177246,0.011170115135610104,0.009246318135410547,0.9955639958381652,0.9981050342321396,0.011169447377324105,0.009246166329830885,0.022065038233995436,0.01832216139882803
2,0.9883691549301148,0.9899045825004578,0.8061796069145203,0.7969138622283936,0.01316748782992363,0.011985874967649579,0.9984761238098144,0.9966340959072113,0.013167220912873746,0.01198537927120924,0.02598927840590477,0.023685477674007416
3,0.986769950389862,0.9889971613883972,0.8241847395896912,0.8345727920532227,0.016744272038340568,0.01450842502526939,0.9989419460296631,0.9900229275226593,0.016743934713304043,0.014506286708638072,0.03286085911095142,0.028595516458153725
4,0.9870914816856384,0.9883631318807602,0.8584270477294922,0.859912633895874,0.018328545987606047,0.016981575172394514,0.9994579672813415,0.994552806019783,0.018328346498310565,0.016980040818452835,0.03597041368484497,0.03338904678821564
5,0.9851217031478882,0.9874377846717834,0.8816484451293946,0.8750250339508057,0.024443498440086843,0.018926171120256186,0.9996874690055847,0.9990212917327881,0.02444332055747509,0.01892581209540367,0.04759488888084888,0.037142413668334484
6,0.9844947338104248,0.9867626577615738,0.8929389834403991,0.8888707160949707,0.026779748126864435,0.021231864113360643,0.9997883558273315,0.9947973042726517,0.026779643446207046,0.02122951950877905,0.05202164351940155,0.04156864434480667
7,0.9853780508041382,0.9862248599529266,0.899943220615387,0.8961658477783203,0.02545252479612827,0.022765145637094975,0.9995944857597351,0.9963278472423553,0.025452320650219917,0.022763130720704794,0.04957920089364052,0.044504888355731964
8,0.9848361134529113,0.9857719987630844,0.9053590774536133,0.9011728763580322,0.027068914845585823,0.02386553678661585,0.9997997641563415,0.9966972917318344,0.027068734541535376,0.02386364061385393,0.05265917107462883,0.046607653610408306
9,0.984257984161377,0.9852542132139206,0.913099730014801,0.9077811241149902,0.029248254373669624,0.02551649697124958,0.9995913982391358,0.9971277564764023,0.029247982054948808,0.025514694396406412,0.05674411505460739,0.04975450690835714
10,0.9837071418762207,0.9849769473075867,0.9170656800270081,0.9156861305236816,0.03032156266272068,0.027738825883716345,0.9995928645133972,0.9977388232946396,0.030321252718567848,0.0277370885014534,0.058768291026353836,0.05397090408951044
11,0.9813687205314636,0.9840357154607773,0.9233667373657226,0.9221961498260498,0.03666171170771122,0.029784856364130974,0.9996955990791321,0.9933360517024994,0.03666144199669361,0.02977884141728282,0.07053273841738701,0.0578260887414217
12,0.9825151443481446,0.9835208505392075,0.9267330169677734,0.9234511852264404,0.03433421775698662,0.030124256387352943,0.9997070074081421,0.9935141354799271,0.03433389291167259,0.030117866583168507,0.06635117754340172,0.05845513939857483
13,0.9819419503211975,0.984093651175499,0.9283085584640502,0.9181580543518066,0.03531816340982914,0.02838578214868903,0.9995653748512268,0.9964517056941986,0.035317672044038774,0.028382825199514627,0.06813829243183137,0.05518020037561655
14,0.9795259714126587,0.9827216565608978,0.9324590682983398,0.9331274032592773,0.04050550572574139,0.034175220876932144,0.9992446064949035,0.983542799949646,0.040504058450460435,0.03415537718683481,0.07772988677024842,0.06603058241307735
15,0.9806534171104431,0.9825567007064819,0.9364631652832032,0.9355995655059814,0.039537495374679564,0.0352854379452765,0.999418842792511,0.9755809754133224,0.03953673169016838,0.03525550710037351,0.07597922310233116,0.06807779613882303
16,0.9779738783836365,0.9813766330480576,0.9400987148284912,0.9433121681213379,0.04551246762275696,0.04007477080449462,0.9995164990425109,0.9675028175115585,0.0455116979777813,0.04002761701121926,0.08688629567623138,0.07686339132487774
17,0.9775995016098022,0.9810597449541092,0.9420556902885437,0.9491264820098877,0.046826396882534024,0.044216820038855076,0.9992886662483216,0.9492702186107635,0.04682497680187225,0.0441276547499001,0.08940202444791794,0.08432604372501373
18,0.9786490440368653,0.9803193956613541,0.9482199907302856,0.9430091381072998,0.04758414924144745,0.039974811021238565,0.9994643688201904,0.9723946005105972,0.04758289754390717,0.0399362463504076,0.09069338738918305,0.07667934242635965
19,0.9779611945152282,0.9791636019945145,0.9508535385131835,0.9486205577850342,0.0500537171959877,0.04432913847267628,0.9994041681289673,0.9556315094232559,0.05005214661359787,0.04423762857913971,0.09527392387390136,0.08457798045128584
20,0.9771714329719543,0.9784256964921951,0.9545508742332458,0.9535079002380371,0.054123064130544664,0.049195216968655586,0.9993797779083252,0.9578319936990738,0.054121021181344986,0.04906841181218624,0.10260338485240936,0.09338211081922054
21,0.9769457817077637,0.9801101386547089,0.9492322325706481,0.9430158138275146,0.048509711772203444,0.040025881957262754,0.9983721256256104,0.9455345273017883,0.04850374683737755,0.03996313875541091,0.09230225384235383,0.07638437859714031
